time, signature, ambient temp, object temp
11:20:2,aaa,20.14,20.82
11:21:16,,0,0
14:23:39,aaa,20.66,21.48
14:24:4,aaa,20.66,21.48
14:25:57,aaa,20.66,21.48
14:27:27,aaa,20.66,21.48
14:27:31,aaa,20.66,21.48
14:52:10,,0,0
14:59:22,,0,0
15:2:52,,0,0
15:12:23,,0,0
